sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
11,0.21626,3666.1,4540.2,9.354,27.243,42.305,2710.0,74.607,120.4,0.32263,80.239,48.359,2639.0,23.679,51.339,3107.2,22.299,65.631,232.84,341.64,94.595,77.74,32.312,8.9481,26.508,6.8653,18.95,1.6546,32.985,13.924,23.486,1.3124,18.208,2.212,4.8459,2.2854,0.025523,0.85079,0.08256,53.201,43.755,63.726,54.567,21.192,60.442,22.389,37.955,33.271,49.633,47.507,40.807,19.634
12,0.21694,3699.9,4527.8,9.3405,26.997,42.661,2710.9,75.137,120.43,0.32418,80.274,48.988,2639.5,25.792,51.242,3107.7,23.591,65.748,233.09,342.0,94.514,77.392,32.312,8.9481,26.508,6.8653,18.95,1.6546,32.985,13.924,23.486,1.3124,18.208,2.212,4.8459,2.2854,0.025523,0.85079,0.08256,53.201,43.755,63.145,54.715,21.126,64.412,22.494,37.767,35.121,49.409,47.601,41.945,16.573
13,0.23189,3642.2,4494.0,9.3182,26.78,41.922,2709.1,75.234,120.4,0.34723,80.222,48.32,2638.4,25.348,49.834,3105.9,22.256,65.786,232.29,342.2,94.562,77.241,31.858,8.7508,26.362,6.9398,19.204,1.6404,32.992,13.708,24.309,1.2939,18.677,2.2681,4.767,2.212,0.025523,0.85079,0.08256,53.201,43.755,63.366,53.762,23.414,62.168,22.657,41.645,33.155,46.15,47.788,41.308,19.745
14,0.23577,3637.7,4489.8,9.2073,26.914,42.447,2706.0,74.313,120.42,0.35418,79.935,47.989,2634.5,25.289,51.076,3102.9,22.183,65.772,231.95,341.62,94.527,77.207,31.858,8.7508,26.362,6.9398,19.204,1.6404,32.992,13.708,24.309,1.2939,18.677,2.2681,4.767,2.212,0.025523,0.85079,0.08256,53.201,43.755,63.443,53.812,23.033,62.941,22.308,40.798,32.183,49.023,47.935,41.475,19.93
15,0.28055,3677.9,4485.6,9.5711,26.814,41.983,2706.6,74.747,120.39,0.32631,79.942,49.419,2635.3,22.879,48.824,3101.8,23.275,65.738,231.99,342.27,94.695,77.183,32.652,8.9287,26.678,6.9283,19.279,1.6714,32.797,13.864,23.991,1.2141,18.035,2.3139,4.793,2.2697,0.025523,0.85079,0.08256,53.201,43.755,62.079,53.186,27.475,60.656,22.339,38.395,36.39,43.813,48.05,41.14,17.351
16,0.27927,3641.0,4474.2,9.4081,26.946,42.56,2708.1,75.582,120.42,0.32636,80.012,49.387,2637.2,27.026,49.475,3103.8,23.861,65.739,232.03,342.12,94.619,77.426,32.652,8.9287,26.678,6.9283,19.279,1.6714,32.797,13.864,23.991,1.2141,18.035,2.3139,4.793,2.2697,0.026127,0.83631,0.10437,54.616,43.655,62.713,53.323,27.601,62.148,22.637,38.389,36.296,45.318,48.31,41.032,15.941
17,0.20275,3660.3,4434.3,9.4764,26.784,42.479,2709.0,75.3,120.4,0.3421,80.16,49.664,2638.7,25.27,50.098,3103.8,23.632,65.806,233.1,342.74,94.648,77.409,32.003,8.8664,26.665,6.7937,18.624,1.6561,33.14,13.913,24.382,1.2998,18.196,2.246,4.8136,2.1799,0.026127,0.83631,0.10437,54.616,43.655,62.434,53.54,19.881,60.493,22.607,40.592,37.11,46.762,48.395,41.239,16.472
18,0.20185,3660.8,4460.0,9.4155,27.117,42.388,2707.8,74.805,120.39,0.34342,80.1,49.729,2637.1,25.565,51.634,3102.2,23.585,65.836,234.33,342.39,94.628,77.035,32.003,8.8664,26.665,6.7937,18.624,1.6561,33.14,13.913,24.382,1.2998,18.196,2.246,4.8136,2.1799,0.026127,0.83631,0.10437,54.616,43.655,62.425,53.232,19.97,59.746,22.841,40.431,37.304,50.316,48.462,40.492,16.608
19,0.26567,3662.1,4475.7,9.5237,27.059,42.68,2706.0,74.134,120.42,0.35085,79.788,50.274,2634.1,23.459,50.637,3103.0,23.743,65.819,235.23,342.09,94.756,76.819,32.227,8.7732,26.6,6.9211,18.79,1.706,32.82,13.634,24.261,1.1998,18.41,2.2462,4.8144,2.2373,0.026127,0.83631,0.10437,54.616,43.655,63.602,54.62,25.757,59.431,22.221,40.936,38.905,48.008,48.561,41.346,16.27
20,0.26342,3680.6,4519.7,9.2553,26.756,42.127,2706.3,74.098,120.4,0.35219,79.749,50.203,2634.6,26.446,48.469,3103.4,23.771,65.756,235.43,342.48,94.517,76.865,32.227,8.7732,26.6,6.9211,18.79,1.706,32.82,13.634,24.261,1.1998,18.41,2.2462,4.8144,2.2373,0.026127,0.83631,0.10437,54.616,43.655,63.285,54.094,25.978,64.486,22.295,40.773,38.697,42.991,48.727,41.402,16.219
21,0.24377,3651.9,4540.4,9.212,27.183,41.769,2709.8,74.902,120.4,0.31379,79.884,50.481,2638.6,25.644,50.202,3105.8,23.934,65.736,235.42,341.67,94.712,77.846,31.685,8.7888,26.457,6.9214,18.511,1.7119,33.495,13.748,24.012,1.1782,18.075,2.272,4.8244,2.2984,0.027992,0.84189,0.089829,54.849,44.022,62.684,53.451,23.787,62.564,22.54,37.924,39.517,47.002,48.555,40.741,15.767
22,0.24307,3657.5,4489.5,9.3721,26.986,41.964,2716.4,74.376,120.4,0.31643,80.353,50.642,2644.9,24.264,51.352,3114.3,23.037,65.814,234.52,341.23,94.775,77.741,31.685,8.7888,26.457,6.9214,18.511,1.7119,33.495,13.748,24.012,1.1782,18.075,2.272,4.8244,2.2984,0.027992,0.84189,0.089829,54.849,44.022,62.588,54.06,23.856,63.27,22.181,37.602,39.99,49.663,48.656,41.08,17.861
23,0.29887,3656.5,4570.4,9.4067,26.348,42.077,2721.2,74.812,120.39,0.32658,80.452,50.752,2650.1,25.17,50.427,3121.4,24.042,65.923,236.03,340.01,94.671,77.803,32.371,8.8007,26.378,6.8226,18.626,1.6546,32.913,13.633,24.204,1.285,18.22,2.2001,4.8075,2.2719,0.027992,0.84189,0.089829,54.849,44.022,62.565,53.797,29.169,62.223,21.999,39.227,40.314,47.523,48.538,40.593,15.441
24,0.29813,3644.1,4494.5,9.5121,27.157,42.578,2726.4,74.41,120.41,0.32647,80.565,50.742,2654.5,26.177,48.216,3128.9,23.22,66.017,236.16,338.79,94.767,77.928,32.371,8.8007,26.378,6.8226,18.626,1.6546,32.913,13.633,24.204,1.285,18.22,2.2001,4.8075,2.2719,0.027992,0.84189,0.089829,54.849,44.022,62.778,54.705,29.241,59.841,21.79,39.239,40.284,42.406,48.538,41.226,17.343
25,0.23188,3669.4,4527.5,9.4363,26.831,42.328,2729.3,75.291,120.4,0.31534,80.521,52.241,2657.5,25.114,49.01,3132.5,23.516,66.093,232.19,337.93,94.614,77.72,31.839,8.8152,27.07,6.8586,18.592,1.6407,32.796,13.679,24.574,1.2992,18.497,2.2638,4.8385,2.294,0.027992,0.84189,0.089829,54.849,44.022,63.219,54.063,23.036,61.829,21.448,37.312,44.694,44.243,48.901,40.898,16.624
26,0.23259,3662.7,4500.1,9.3653,26.623,42.539,2730.4,74.021,120.41,0.31336,80.276,48.249,2657.4,24.349,51.172,3135.8,21.717,66.097,233.47,336.49,94.903,77.403,31.839,8.8152,27.07,6.8586,18.592,1.6407,32.796,13.679,24.574,1.2992,18.497,2.2638,4.8385,2.294,0.00021616,0.81564,0.11188,53.574,44.262,63.335,54.39,22.966,59.577,20.864,37.553,32.948,49.246,48.947,40.965,20.905
27,0.28612,3673.6,4541.6,9.413,26.933,42.434,2731.2,75.493,120.37,0.3204,79.95,46.948,2659.2,21.778,49.33,3138.9,22.901,66.013,236.22,335.3,94.754,77.203,31.787,8.6999,27.495,6.866,18.9,1.7022,31.516,13.619,25.059,1.1825,18.3,2.2665,4.8808,2.3488,0.00021616,0.81564,0.11188,53.574,44.262,62.87,54.006,27.983,57.827,20.912,37.673,29.117,44.983,48.784,40.059,18.124
28,0.28512,3650.0,4521.7,9.2446,27.206,42.458,2735.8,74.622,120.39,0.31641,79.809,51.57,2662.5,24.457,50.088,3142.0,22.608,65.912,236.48,334.29,94.942,77.189,31.787,8.6999,27.495,6.866,18.9,1.7022,31.516,13.619,25.059,1.1825,18.3,2.2665,4.8808,2.3488,0.00021616,0.81564,0.11188,53.574,44.262,63.275,54.245,28.081,62.21,21.125,38.161,42.721,46.738,48.85,40.649,18.843
29,0.29467,3649.4,4473.3,9.3489,27.231,42.099,2742.4,75.057,120.39,0.30958,80.01,50.514,2669.7,25.07,48.032,3149.8,23.461,65.85,237.64,333.98,94.796,77.519,30.52,8.7845,28.622,6.8824,18.998,1.6503,31.805,13.722,25.811,1.1989,18.645,2.2672,4.8222,2.2826,0.00021616,0.81564,0.11188,53.574,44.262,63.24,54.074,28.896,62.036,20.978,37.146,39.612,41.979,48.836,40.492,16.783
30,0.29181,3641.6,4528.6,9.388,26.873,42.314,2747.1,75.634,120.41,0.30535,80.011,48.374,2674.4,23.764,51.782,3156.3,23.088,65.846,235.66,332.81,94.873,77.343,30.52,8.7845,28.622,6.8824,18.998,1.6503,31.805,13.722,25.811,1.1989,18.645,2.2672,4.8222,2.2826,0.00021616,0.81564,0.11188,53.574,44.262,63.375,53.412,29.178,58.264,20.514,37.662,33.314,50.659,49.1,40.654,17.675
31,0.42852,3637.0,4500.1,9.2873,26.939,42.526,2753.8,75.422,120.38,0.31929,80.006,50.576,2680.4,25.043,50.376,3165.4,22.151,65.807,233.65,332.32,94.824,77.56,30.859,8.8749,28.365,6.9003,18.586,1.5918,30.716,13.649,26.285,1.4176,18.801,2.2465,4.7598,2.3241,0.019551,0.82516,0.10374,53.242,43.708,63.316,53.483,41.95,61.127,20.351,38.489,39.794,47.403,48.685,40.331,19.882
32,0.42774,3686.5,4492.0,9.2981,27.029,42.147,2760.0,75.125,120.42,0.31837,79.892,50.029,2686.3,24.58,50.152,3170.9,22.0,65.762,236.67,332.06,94.765,77.353,30.859,8.8749,28.365,6.9003,18.586,1.5918,30.716,13.649,26.285,1.4176,18.801,2.2465,4.7598,2.3241,0.019551,0.82516,0.10374,53.242,43.708,62.466,53.58,42.026,61.412,20.868,38.601,38.186,46.887,48.209,41.079,20.257
33,0.41155,3676.1,4553.6,9.335,26.746,42.584,2763.3,74.764,120.36,0.30859,79.485,48.025,2688.4,24.509,49.259,3174.6,22.432,65.684,234.37,331.85,94.895,76.701,29.854,8.7071,28.354,6.9813,18.582,1.6242,30.222,13.528,26.634,1.2493,18.571,2.2224,4.7611,2.0937,0.019551,0.82516,0.10374,53.242,43.708,62.479,53.851,40.249,62.935,20.396,37.629,32.288,44.82,48.21,40.071,19.301
34,0.41019,3621.8,4545.9,9.3018,26.814,42.403,2767.7,76.426,120.41,0.30858,79.219,49.764,2693.1,27.051,49.572,3178.6,23.75,65.493,235.05,331.3,94.963,76.867,29.854,8.7071,28.354,6.9813,18.582,1.6242,30.222,13.528,26.634,1.2493,18.571,2.2224,4.7611,2.0937,0.019551,0.82516,0.10374,53.242,43.708,63.413,53.943,40.384,60.524,20.391,37.631,37.404,45.542,47.958,40.782,16.204
35,0.52601,3626.3,4518.0,9.2379,26.67,42.581,2777.6,75.961,120.39,0.29155,79.412,49.42,2703.9,24.506,51.094,3188.9,23.597,65.412,234.34,331.27,94.837,77.341,30.272,8.8048,28.83,6.8328,18.464,1.6156,30.243,13.593,27.364,1.1261,18.593,2.2281,4.7266,2.2748,0.019551,0.82516,0.10374,53.242,43.708,62.569,54.32,51.848,60.173,20.672,36.135,36.394,49.066,47.835,39.99,16.536
36,0.5266,3649.9,4521.8,9.2339,26.868,42.61,2784.1,75.715,120.42,0.29559,79.351,49.094,2710.3,24.565,49.988,3197.4,22.251,65.363,236.46,331.13,94.825,77.137,30.272,8.8048,28.83,6.8328,18.464,1.6156,30.243,13.593,27.364,1.1261,18.593,2.2281,4.7266,2.2748,0.0094011,0.82572,0.084688,53.306,43.302,62.164,54.274,51.791,59.845,20.717,35.642,35.433,46.506,47.671,40.933,19.751
37,0.50844,3672.6,4588.2,9.2439,27.16,42.766,2789.4,74.487,120.42,0.30358,79.236,51.443,2716.5,24.081,50.718,3203.6,22.881,65.291,232.93,331.06,94.776,77.403,30.12,8.6901,29.422,6.998,19.081,1.623,29.563,13.612,27.914,1.2801,18.379,2.2179,4.6313,2.2227,0.0094011,0.82572,0.084688,53.306,43.302,63.052,53.81,49.968,61.231,20.657,36.001,42.348,48.197,47.893,41.148,18.249
38,0.5094,3632.0,4514.0,9.1899,27.094,42.726,2796.0,76.236,120.4,0.30105,79.306,50.653,2723.1,24.997,49.844,3209.8,22.321,65.262,236.37,331.57,94.596,77.276,30.12,8.6901,29.422,6.998,19.081,1.623,29.563,13.612,27.914,1.2801,18.379,2.2179,4.6313,2.2227,0.0094011,0.82572,0.084688,53.306,43.302,63.75,54.698,49.874,61.385,20.969,36.309,40.023,46.173,47.493,40.336,19.582
39,0.54166,3606.8,4456.6,9.2212,26.874,42.43,2799.2,76.021,120.42,0.30058,79.163,50.777,2726.7,23.512,49.151,3212.9,22.173,65.236,232.87,331.32,94.8,76.998,29.876,8.605,29.315,6.6663,18.58,1.629,29.618,13.458,28.299,1.2626,18.083,2.2066,4.6483,2.2343,0.0094011,0.82572,0.084688,53.306,43.302,62.704,53.872,53.678,59.339,21.186,36.554,40.388,44.57,47.713,40.985,19.956
40,0.54272,3616.1,4482.5,9.0621,27.134,42.101,2801.8,76.289,120.39,0.30399,78.826,49.849,2728.4,23.614,48.516,3213.9,22.338,65.177,234.82,331.19,94.771,76.599,29.876,8.605,29.315,6.6663,18.58,1.629,29.618,13.458,28.299,1.2626,18.083,2.2066,4.6483,2.2343,0.0094011,0.82572,0.084688,53.306,43.302,62.544,53.562,53.574,60.485,21.528,36.139,37.655,43.1,47.453,40.12,19.622
41,0.59119,3716.8,4544.1,9.0722,26.973,42.389,2803.9,75.826,120.42,0.28327,78.447,49.613,2729.8,26.605,50.546,3218.4,23.591,65.041,234.56,330.91,94.76,76.443,30.104,8.6027,29.597,6.9269,19.014,1.608,29.231,13.19,28.891,1.0593,17.967,2.1814,4.488,2.1517,0.022851,0.85218,0.099188,52.83,43.36,63.767,54.045,57.925,58.792,20.886,34.117,36.962,47.798,47.393,41.32,16.701
42,0.59035,3703.8,4502.4,9.1847,26.713,42.423,2806.2,75.874,120.38,0.28554,78.235,48.875,2733.6,25.774,48.679,3220.7,22.996,64.854,235.89,331.35,94.669,76.311,30.104,8.6027,29.597,6.9269,19.014,1.608,29.231,13.19,28.891,1.0593,17.967,2.1814,4.488,2.1517,0.022851,0.85218,0.099188,52.83,43.36,63.991,54.543,58.008,59.24,20.844,33.84,34.789,43.478,47.199,41.009,18.173
43,0.59134,3661.6,4485.9,9.0271,26.908,41.882,2811.9,76.07,120.38,0.25034,78.275,49.607,2739.5,25.066,49.285,3222.0,22.188,64.743,236.01,331.84,94.647,76.613,29.474,8.7114,29.728,6.9343,18.285,1.5753,29.146,13.417,29.235,1.2403,18.025,2.1859,4.5319,2.1653,0.022851,0.85218,0.099188,52.83,43.36,62.511,53.673,58.069,59.818,21.766,30.222,36.943,44.88,47.12,40.724,20.105
44,0.59017,3615.5,4480.0,8.9466,26.819,42.666,2814.4,75.99,120.4,0.25426,78.18,49.415,2741.1,24.903,49.599,3224.0,22.724,64.683,235.04,332.0,94.763,76.308,29.474,8.7114,29.728,6.9343,18.285,1.5753,29.146,13.417,29.235,1.2403,18.025,2.1859,4.5319,2.1653,0.022851,0.85218,0.099188,52.83,43.36,63.304,53.745,58.183,60.26,21.593,29.744,36.378,45.607,47.136,40.754,18.883
45,0.67809,3644.9,4534.9,8.9803,27.113,42.26,2819.1,77.483,120.41,0.2763,78.149,48.62,2746.6,24.328,50.948,3228.8,22.34,64.618,236.58,331.99,94.799,76.693,29.596,8.5788,30.672,7.0806,18.361,1.5998,28.77,13.299,29.585,1.2466,18.015,2.1731,4.3408,2.0448,0.022851,0.85218,0.099188,52.83,43.36,62.689,54.896,66.436,60.594,21.951,32.367,34.04,48.729,46.933,40.576,19.8
46,0.67748,3673.9,4564.0,8.9707,26.825,42.293,2821.8,76.719,120.4,0.27453,78.092,48.875,2749.7,24.111,48.806,3232.2,21.997,64.617,236.52,331.72,94.672,76.446,29.596,8.5788,30.672,7.0806,18.361,1.5998,28.77,13.299,29.585,1.2466,18.015,2.1731,4.3408,2.0448,0.026601,0.86429,0.087275,53.32,43.598,62.19,54.548,66.496,60.846,21.798,32.584,34.79,43.77,47.553,40.873,20.66
47,0.69519,3616.1,4539.0,9.0136,27.09,42.346,2823.6,77.083,120.37,0.25701,77.754,48.647,2750.9,26.619,49.402,3234.2,23.83,64.57,238.76,332.1,94.884,76.059,29.327,8.7802,30.259,6.9106,18.607,1.5618,29.169,13.372,29.514,1.0803,18.046,2.1319,4.3643,2.065,0.026601,0.86429,0.087275,53.32,43.598,61.783,54.739,67.861,59.241,21.89,30.886,34.117,45.151,47.585,40.21,16.386
48,0.69551,3623.9,4534.2,8.9386,27.072,42.067,2827.2,76.703,120.4,0.25699,77.699,48.861,2754.7,24.553,48.896,3235.6,22.737,64.519,240.44,332.58,94.893,76.148,29.327,8.7802,30.259,6.9106,18.607,1.5618,29.169,13.372,29.514,1.0803,18.046,2.1319,4.3643,2.065,0.026601,0.86429,0.087275,53.32,43.598,61.648,54.796,67.829,58.461,22.309,30.889,34.748,43.98,47.671,40.725,19.024
49,0.74626,3592.5,4503.8,8.8194,26.857,41.88,2831.0,76.477,120.39,0.2647,77.681,52.174,2757.5,25.438,51.556,3238.9,23.022,64.479,240.55,332.56,94.79,76.216,29.589,8.573,29.985,7.2158,18.313,1.5979,28.847,13.213,30.109,1.198,18.2,2.1056,4.4054,2.0231,0.026601,0.86429,0.087275,53.32,43.598,63.573,54.605,73.523,57.448,22.404,31.16,44.497,50.136,47.897,40.504,18.375
50,0.74847,3647.2,4538.2,8.8338,26.88,42.505,2832.4,77.689,120.41,0.26515,77.555,48.011,2758.3,23.297,51.54,3241.6,23.217,64.454,241.77,332.35,94.809,75.977,29.589,8.573,29.985,7.2158,18.313,1.5979,28.847,13.213,30.109,1.198,18.2,2.1056,4.4054,2.0231,0.026601,0.86429,0.087275,53.32,43.598,62.63,54.193,73.306,58.137,22.025,31.105,32.248,50.098,48.024,40.827,17.965
51,0.75072,3566.3,4593.6,8.8855,27.18,42.384,2835.0,76.485,120.39,0.24653,77.54,50.987,2761.6,26.71,48.896,3242.9,22.069,64.461,243.73,333.21,94.759,76.17,29.116,8.6743,30.278,6.7303,17.862,1.5861,28.665,13.234,30.076,1.3762,17.836,2.1404,4.2842,1.9546,0.02556,0.90725,0.09854,54.07,44.501,61.175,54.304,73.695,58.241,22.802,28.343,41.005,43.979,48.435,40.635,20.71
52,0.74971,3524.6,4588.9,8.8531,27.116,42.061,2835.2,77.16,120.37,0.24128,77.307,49.88,2763.2,25.0,48.103,3242.2,22.458,64.475,244.31,333.26,95.025,76.042,29.116,8.6743,30.278,6.7303,17.862,1.5861,28.665,13.234,30.076,1.3762,17.836,2.1404,4.2842,1.9546,0.02556,0.90725,0.09854,54.07,44.501,61.894,54.36,73.795,55.799,22.876,28.983,37.746,42.144,48.77,39.951,19.84
53,0.82591,3689.3,4625.0,8.6313,26.691,41.689,2840.4,77.091,120.42,0.24042,77.488,48.894,2768.7,24.394,48.142,3246.5,21.792,64.507,247.76,333.79,94.771,76.289,29.307,8.4114,30.261,6.8969,18.382,1.5485,29.156,13.407,30.058,1.1401,17.751,2.1306,4.3124,1.9495,0.02556,0.90725,0.09854,54.07,44.501,63.231,55.15,81.097,57.52,22.882,28.764,34.845,42.235,48.848,41.194,21.423
54,0.82845,3646.5,4564.7,8.5862,26.745,42.394,2839.1,76.984,120.42,0.24163,77.387,49.484,2766.6,23.668,49.914,3246.4,21.596,64.592,245.62,333.67,94.521,75.826,29.307,8.4114,30.261,6.8969,18.382,1.5485,29.156,13.407,30.058,1.1401,17.751,2.1306,4.3124,1.9495,0.02556,0.90725,0.09854,54.07,44.501,63.969,55.872,80.848,57.665,22.629,28.616,36.581,46.336,49.421,40.466,21.951
55,0.83756,3624.9,4554.9,8.6646,26.997,42.48,2833.9,78.024,120.4,0.25729,76.924,49.956,2760.9,24.9,49.832,3240.4,21.468,64.562,247.6,333.7,94.766,75.287,29.676,8.4872,30.202,6.8279,18.585,1.571,28.378,13.161,30.001,1.2743,17.768,2.1626,4.1902,2.017,0.02556,0.90725,0.09854,54.07,44.501,62.942,54.825,82.401,57.765,22.685,30.608,37.97,46.145,49.628,40.838,22.366
56,0.83799,3638.9,4516.9,8.652,26.798,42.557,2830.7,77.851,120.42,0.25934,76.736,48.402,2758.4,25.432,49.754,3235.4,22.182,64.502,253.01,334.43,94.805,75.222,29.676,8.4872,30.202,6.8279,18.585,1.571,28.378,13.161,30.001,1.2743,17.768,2.1626,4.1902,2.017,0.024172,0.90375,0.12242,53.783,43.215,62.702,55.279,82.359,56.968,22.991,30.357,33.397,45.964,50.723,40.702,20.743
57,0.8286,3677.7,4538.4,8.5661,26.919,42.244,2829.3,78.319,120.4,0.22954,76.768,49.845,2757.2,24.313,51.428,3231.4,23.096,64.516,255.55,334.03,94.799,75.355,29.95,8.6598,29.906,6.877,18.461,1.555,29.047,13.384,30.422,1.3276,18.146,2.0854,4.1777,1.9852,0.024172,0.90375,0.12242,53.783,43.215,62.658,54.573,81.776,55.835,23.293,26.591,37.644,49.838,51.401,40.53,18.626
58,0.83057,3650.2,4552.7,8.5513,26.782,41.951,2827.5,77.351,120.41,0.22583,76.996,48.43,2755.3,25.341,50.378,3230.8,21.58,64.629,258.3,334.08,94.793,75.635,29.95,8.6598,29.906,6.877,18.461,1.555,29.047,13.384,30.422,1.3276,18.146,2.0854,4.1777,1.9852,0.024172,0.90375,0.12242,53.783,43.215,63.131,54.402,81.583,54.296,23.198,27.043,33.48,47.41,52.051,41.091,22.231
