sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
13,0.24287,3682.2,4478.6,9.1879,26.936,42.318,2705.7,75.207,120.4,0.32786,80.361,49.276,2634.5,25.062,49.535,3103.1,22.542,65.744,228.98,341.2,94.48,77.395,31.9,8.9804,26.271,6.5806,18.525,1.6243,32.877,13.917,24.032,1.3016,18.374,2.2454,4.8483,2.3364,0.01066,0.82773,0.10286,53.662,43.975,63.35,53.967,24.042,62.461,22.069,38.905,35.97,45.459,47.245,40.877,19.05
14,0.24496,3667.2,4516.5,9.2293,26.875,42.345,2705.0,74.831,120.43,0.32931,80.273,50.514,2633.6,25.621,49.716,3103.1,23.803,65.817,229.15,341.39,94.473,77.498,31.9,8.9804,26.271,6.5806,18.525,1.6243,32.877,13.917,24.032,1.3016,18.374,2.2454,4.8483,2.3364,0.01066,0.82773,0.10286,53.662,43.975,63.607,53.514,23.836,62.235,22.105,38.728,39.613,45.876,47.153,41.915,16.036
15,0.27692,3755.9,4553.1,9.3191,27.119,42.517,2703.7,74.725,120.41,0.34638,80.278,49.773,2632.5,24.297,48.923,3103.1,21.786,65.8,227.95,341.12,94.375,77.126,32.486,8.841,26.557,7.1227,18.345,1.6268,33.195,13.918,23.864,1.3619,18.69,2.2772,4.8388,2.3431,0.01066,0.82773,0.10286,53.662,43.975,64.464,53.967,27.558,60.962,22.037,41.949,37.431,44.041,47.179,41.257,20.844
16,0.27942,3772.9,4521.9,9.409,26.729,42.369,2699.6,74.801,120.42,0.34655,79.861,48.98,2627.5,26.583,49.246,3099.1,23.141,65.774,228.64,340.99,94.412,76.828,32.486,8.841,26.557,7.1227,18.345,1.6268,33.195,13.918,23.864,1.3619,18.69,2.2772,4.8388,2.3431,0.034117,0.84301,0.10649,53.74,43.285,64.17,54.341,27.312,60.719,21.681,41.929,35.097,44.79,46.993,41.469,17.68
17,0.22325,3655.0,4584.4,9.3408,26.782,42.258,2697.9,74.582,120.35,0.3508,79.934,50.997,2627.1,25.14,49.469,3095.1,22.562,65.655,228.06,341.12,94.574,77.246,32.389,8.8925,26.17,7.0844,18.686,1.6529,33.021,13.864,23.714,1.266,18.557,2.2366,4.8851,2.2659,0.034117,0.84301,0.10649,53.74,43.285,61.472,54.093,21.681,61.779,21.941,41.573,41.033,45.304,46.953,39.747,19.044
18,0.22194,3617.2,4508.3,9.3965,27.029,42.505,2699.2,74.155,120.38,0.3481,80.015,51.247,2628.1,24.625,50.041,3095.8,23.81,65.634,230.31,341.07,94.814,77.417,32.389,8.8925,26.17,7.0844,18.686,1.6529,33.021,13.864,23.714,1.266,18.557,2.2366,4.8851,2.2659,0.034117,0.84301,0.10649,53.74,43.285,62.123,55.004,21.811,62.881,22.262,41.903,41.769,46.629,46.661,41.27,16.068
19,0.23054,3591.3,4530.0,9.3028,27.038,42.116,2704.6,75.415,120.35,0.34617,80.411,49.345,2632.8,26.407,51.246,3100.6,23.967,65.669,226.67,341.15,94.746,77.75,32.265,8.899,26.3,7.0938,18.837,1.657,33.064,13.747,23.586,1.4433,18.06,2.2511,4.8395,2.3182,0.034117,0.84301,0.10649,53.74,43.285,62.696,53.951,22.304,63.259,22.366,40.808,36.171,49.418,46.89,40.661,15.649
20,0.23099,3618.5,4507.5,9.3929,27.072,42.534,2706.0,74.646,120.41,0.34335,80.52,48.326,2634.4,24.116,49.85,3103.1,22.843,65.772,226.5,341.17,94.691,77.559,32.265,8.899,26.3,7.0938,18.837,1.657,33.064,13.747,23.586,1.4433,18.06,2.2511,4.8395,2.3182,0.034117,0.84301,0.10649,53.74,43.285,62.228,54.219,22.26,60.457,22.186,41.153,33.173,46.188,46.804,41.657,18.307
21,0.24088,3596.3,4508.9,9.315,27.113,42.332,2706.3,74.878,120.37,0.32921,80.381,50.546,2634.8,23.802,50.985,3103.0,23.375,65.797,226.39,341.28,94.812,77.511,31.695,8.9221,26.4,6.9164,18.472,1.5966,33.051,13.799,24.108,1.1416,18.669,2.2194,4.8428,2.3725,0.030437,0.83754,0.10127,53.191,44.002,62.332,53.835,23.358,63.415,22.455,39.706,39.707,48.813,47.102,40.85,17.038
22,0.23837,3628.6,4498.8,9.2929,27.064,42.328,2706.8,74.986,120.4,0.33175,80.249,49.862,2634.3,23.921,50.842,3104.5,22.549,65.785,228.07,340.93,94.802,77.38,31.695,8.9221,26.4,6.9164,18.472,1.5966,33.051,13.799,24.108,1.1416,18.669,2.2194,4.8428,2.3725,0.030437,0.83754,0.10127,53.191,44.002,61.776,53.956,23.605,62.384,22.157,39.395,37.692,48.483,47.024,40.72,19.007
23,0.29528,3648.9,4573.2,9.5114,26.941,42.299,2707.7,74.869,120.41,0.34216,80.067,50.901,2636.2,24.178,48.69,3106.6,23.152,65.735,228.62,341.27,94.703,77.227,31.894,8.9476,26.37,6.7137,18.553,1.6312,32.907,13.659,23.744,1.1394,18.501,2.2928,4.9606,2.4158,0.030437,0.83754,0.10127,53.191,44.002,62.867,53.982,29.267,61.729,22.162,39.443,40.75,43.501,47.051,40.688,17.599
24,0.29539,3669.8,4540.7,9.4093,26.882,41.863,2709.9,75.047,120.4,0.33762,80.048,48.572,2639.0,25.973,48.568,3107.0,23.268,65.672,226.45,341.77,94.584,77.303,31.894,8.9476,26.37,6.7137,18.553,1.6312,32.907,13.659,23.744,1.1394,18.501,2.2928,4.9606,2.4158,0.030437,0.83754,0.10127,53.191,44.002,62.506,54.37,29.256,60.24,22.262,39.998,33.898,43.22,47.32,40.691,17.325
25,0.28079,3714.1,4500.4,9.3412,26.95,42.642,2709.2,75.643,120.45,0.32433,79.91,50.605,2638.3,23.995,51.51,3107.7,23.028,65.648,227.26,341.78,94.565,77.23,32.532,8.9176,26.436,6.8426,19.157,1.6709,32.495,13.74,24.202,1.2075,18.52,2.2439,4.8866,2.3799,0.030437,0.83754,0.10127,53.191,44.002,63.587,54.699,27.723,62.385,22.312,37.747,39.882,50.029,47.326,42.233,17.913
26,0.28239,3729.2,4487.4,9.3237,26.572,42.366,2709.8,75.261,120.42,0.32135,79.936,49.28,2638.6,25.746,48.259,3107.9,23.408,65.611,230.53,341.83,94.376,77.232,32.532,8.9176,26.436,6.8426,19.157,1.6709,32.495,13.74,24.202,1.2075,18.52,2.2439,4.8866,2.3799,0.02421,0.82707,0.10677,53.491,43.865,63.326,54.854,27.566,60.712,22.223,38.111,35.981,42.505,46.983,40.912,17.011
27,0.21849,3670.2,4485.4,9.2773,26.945,42.313,2708.9,74.067,120.41,0.32732,79.999,48.963,2637.8,24.992,50.042,3104.4,22.822,65.588,228.45,342.21,94.595,77.543,31.785,8.9643,27.043,6.8962,18.913,1.6237,32.747,14.089,24.166,1.235,18.515,2.2219,4.919,2.2933,0.02421,0.82707,0.10677,53.491,43.865,63.308,53.383,21.654,61.674,22.565,39.375,35.049,46.631,47.189,41.248,18.387
28,0.21975,3659.9,4457.3,9.403,26.4,42.242,2708.8,76.071,120.4,0.33283,80.225,49.741,2638.6,24.079,49.3,3104.6,22.01,65.611,229.4,341.94,94.502,77.591,31.785,8.9643,27.043,6.8962,18.913,1.6237,32.747,14.089,24.166,1.235,18.515,2.2219,4.919,2.2933,0.02421,0.82707,0.10677,53.491,43.865,63.487,53.719,21.53,61.518,22.371,38.703,37.337,44.915,47.123,40.6,20.291
29,0.2905,3658.5,4476.9,9.2767,26.868,42.304,2705.4,75.369,120.41,0.37032,80.056,49.136,2634.8,24.303,48.228,3103.8,23.355,65.686,227.46,341.61,94.51,77.265,32.026,8.777,26.792,6.8957,18.655,1.6841,33.572,13.91,24.026,1.2429,18.878,2.2544,4.8921,2.2467,0.02421,0.82707,0.10677,53.491,43.865,63.052,54.039,28.851,63.335,22.197,43.598,35.558,42.432,47.312,41.338,17.122
30,0.29118,3636.3,4506.7,9.3088,26.901,42.267,2705.8,74.337,120.4,0.37034,80.008,50.583,2634.4,24.974,50.078,3102.2,23.083,65.662,230.89,341.94,94.613,77.157,32.026,8.777,26.792,6.8957,18.655,1.6841,33.572,13.91,24.026,1.2429,18.878,2.2544,4.8921,2.2467,0.02421,0.82707,0.10677,53.491,43.865,63.434,53.682,28.783,60.381,22.62,43.595,39.816,46.714,47.026,41.038,17.79
31,0.27201,3672.5,4521.1,9.313,27.136,42.468,2705.3,75.155,120.38,0.34996,80.015,50.622,2635.0,24.694,50.338,3102.6,22.756,65.657,227.89,342.33,94.688,77.285,32.303,8.9011,26.788,6.9677,18.906,1.6869,32.748,13.777,23.923,1.3411,18.812,2.2747,4.8386,2.2111,0.015102,0.83616,0.089895,54.006,44.01,62.803,54.143,26.663,60.894,22.578,41.548,39.932,47.316,47.039,40.521,18.556
32,0.27044,3687.3,4553.8,9.2681,26.598,42.557,2705.8,75.112,120.41,0.35154,80.014,50.917,2635.0,26.518,50.204,3103.5,23.848,65.648,229.43,342.13,94.6,77.137,32.303,8.9011,26.788,6.9677,18.906,1.6869,32.748,13.777,23.923,1.3411,18.812,2.2747,4.8386,2.2111,0.015102,0.83616,0.089895,54.006,44.01,62.549,53.751,26.817,61.949,22.041,41.356,40.799,47.006,46.801,40.878,15.976
33,0.24568,3632.0,4479.5,9.2979,26.779,42.347,2705.5,74.978,120.38,0.3362,80.004,51.101,2634.1,24.833,52.41,3102.2,23.514,65.631,229.63,342.15,94.624,77.217,32.247,8.8341,26.45,6.8598,19.026,1.64,33.249,13.624,24.319,1.2208,18.427,2.2539,4.8611,2.3841,0.015102,0.83616,0.089895,54.006,44.01,62.821,54.024,24.017,61.533,22.471,39.708,41.341,52.111,46.683,40.571,16.769
34,0.24499,3639.7,4496.0,9.3361,26.945,42.392,2704.9,74.927,120.41,0.33891,79.878,50.024,2633.3,22.768,50.952,3101.1,23.73,65.606,230.63,342.45,94.776,77.155,32.247,8.8341,26.45,6.8598,19.026,1.64,33.249,13.624,24.319,1.2208,18.427,2.2539,4.8611,2.3841,0.015102,0.83616,0.089895,54.006,44.01,62.689,53.826,24.085,61.75,22.348,39.377,38.172,48.737,46.497,40.719,16.268
35,0.2498,3664.7,4461.3,9.3793,27.0,42.385,2707.6,75.722,120.39,0.3179,80.104,49.946,2637.4,24.167,51.457,3102.9,23.577,65.592,228.02,342.88,94.569,77.306,32.44,8.7949,26.66,6.6818,18.636,1.6711,33.44,13.896,23.999,1.3392,18.727,2.2478,4.8326,2.3857,0.015102,0.83616,0.089895,54.006,44.01,63.175,53.916,24.499,62.556,22.837,37.666,37.942,49.905,46.632,41.122,16.616
36,0.2503,3685.1,4485.0,9.5408,26.612,42.284,2708.5,74.896,120.41,0.31786,80.139,48.825,2638.0,26.102,49.305,3103.7,23.948,65.609,227.31,342.53,94.525,77.369,32.44,8.7949,26.66,6.6818,18.636,1.6711,33.44,13.896,23.999,1.3392,18.727,2.2478,4.8326,2.3857,0.0094048,0.84765,0.1129,53.632,44.802,62.823,53.633,24.45,60.343,22.657,37.671,34.642,44.926,46.821,40.754,15.721
37,0.23097,3720.2,4516.6,9.2626,26.912,42.528,2706.9,73.57,120.46,0.34692,80.092,49.821,2636.1,25.099,51.707,3103.7,23.431,65.634,228.49,342.16,94.495,77.252,32.198,8.764,26.509,7.0797,18.652,1.6442,33.293,13.776,24.226,1.2112,18.38,2.2641,4.8062,2.3103,0.0094048,0.84765,0.1129,53.632,44.802,63.886,54.202,22.359,61.513,22.629,41.293,37.574,50.485,46.713,41.674,16.954
38,0.22861,3693.0,4502.8,9.5062,26.851,42.148,2704.3,75.009,120.42,0.34862,80.027,50.44,2632.6,23.828,51.008,3102.1,24.424,65.639,226.58,341.57,94.469,77.384,32.198,8.764,26.509,7.0797,18.652,1.6442,33.293,13.776,24.226,1.2112,18.38,2.2641,4.8062,2.3103,0.0094048,0.84765,0.1129,53.632,44.802,64.353,54.366,22.592,61.155,22.137,41.086,39.395,48.868,46.881,41.434,14.589
39,0.25063,3603.9,4536.1,9.2759,27.076,42.4,2704.6,75.098,120.39,0.3334,80.097,48.709,2633.6,24.217,48.112,3100.3,22.32,65.626,228.78,341.86,94.586,77.32,32.4,8.6563,26.219,6.8416,18.502,1.6557,32.821,13.807,23.764,1.2573,18.832,2.2729,4.8538,2.3116,0.0094048,0.84765,0.1129,53.632,44.802,62.399,53.952,24.761,61.254,22.38,39.75,34.301,42.164,46.684,40.472,19.59
40,0.25197,3611.4,4549.3,9.4866,26.905,42.175,2704.6,76.154,120.36,0.33405,79.953,48.943,2633.6,26.369,50.546,3099.4,22.595,65.633,229.08,342.14,94.858,77.259,32.4,8.6563,26.219,6.8416,18.502,1.6557,32.821,13.807,23.764,1.2573,18.832,2.2729,4.8538,2.3116,0.0094048,0.84765,0.1129,53.632,44.802,62.269,53.793,24.629,59.177,22.587,39.671,34.99,47.797,46.656,40.038,18.954
41,0.23227,3688.4,4540.9,9.3296,27.101,42.354,2703.3,75.361,120.39,0.33741,79.871,50.214,2632.4,24.982,51.075,3101.4,23.379,65.595,226.48,342.18,94.639,77.131,32.247,8.7243,26.99,6.9533,18.423,1.6408,32.82,13.968,24.28,1.2923,18.447,2.26,4.8059,2.2715,0.01655,0.8316,0.12599,54.218,43.675,62.959,54.294,22.502,61.795,22.433,40.045,38.73,49.022,47.192,40.978,17.114
42,0.23202,3680.5,4508.8,9.3391,26.923,42.166,2706.6,75.45,120.42,0.33749,80.129,51.118,2636.4,24.867,47.812,3102.3,22.637,65.593,228.18,341.67,94.705,77.139,32.247,8.7243,26.99,6.9533,18.423,1.6408,32.82,13.968,24.28,1.2923,18.447,2.26,4.8059,2.2715,0.01655,0.8316,0.12599,54.218,43.675,63.094,54.679,22.527,62.51,22.647,40.035,41.39,41.471,47.175,41.894,18.858
43,0.24409,3628.1,4520.1,9.3677,26.591,42.112,2703.5,74.95,120.39,0.35596,79.916,48.387,2631.6,24.492,49.628,3102.0,21.898,65.617,231.02,341.32,94.645,77.142,32.306,8.8846,26.533,6.8449,18.484,1.6287,33.095,13.827,24.052,1.2323,18.214,2.2696,4.8275,2.3343,0.01655,0.8316,0.12599,54.218,43.675,63.001,54.791,23.977,61.74,21.734,42.183,33.352,45.674,47.052,40.741,20.635
44,0.24412,3660.8,4552.9,9.4427,26.733,42.029,2705.9,74.237,120.4,0.35626,80.088,48.795,2634.9,23.516,50.445,3102.1,23.14,65.593,229.93,341.67,94.736,77.796,32.306,8.8846,26.533,6.8449,18.484,1.6287,33.095,13.827,24.052,1.2323,18.214,2.2696,4.8275,2.3343,0.01655,0.8316,0.12599,54.218,43.675,62.438,54.398,23.974,61.908,22.422,42.147,34.555,47.564,47.284,41.176,17.635
45,0.23657,3649.1,4507.4,9.3259,27.229,42.411,2707.9,75.971,120.42,0.33637,80.261,50.565,2636.0,22.3,49.753,3104.9,23.34,65.683,229.27,341.73,94.537,77.453,31.734,8.8739,26.188,6.838,18.847,1.6217,32.867,13.655,23.953,1.2863,18.631,2.2726,4.9175,2.2999,0.01655,0.8316,0.12599,54.218,43.675,63.576,54.846,23.403,61.229,22.3,40.927,39.763,45.962,47.469,41.356,17.164
46,0.23662,3657.4,4565.1,9.3858,27.073,42.443,2706.0,74.993,120.4,0.33989,80.205,50.653,2635.3,25.487,48.227,3104.2,22.61,65.743,229.06,341.04,94.618,77.273,31.734,8.8739,26.188,6.838,18.847,1.6217,32.867,13.655,23.953,1.2863,18.631,2.2726,4.9175,2.2999,0.006968,0.83975,0.092062,53.009,44.321,63.432,54.155,23.399,61.36,22.333,40.497,40.021,42.431,47.209,41.363,18.909
47,0.2955,3679.4,4505.9,9.4102,26.783,42.524,2707.0,74.936,120.41,0.32383,80.097,49.744,2635.3,25.5,50.974,3104.4,22.73,65.729,226.68,341.61,94.416,77.16,32.791,8.9448,26.504,6.7821,19.053,1.6177,33.218,14.051,24.36,1.2116,18.651,2.2579,4.8851,2.3226,0.006968,0.83975,0.092062,53.009,44.321,63.153,53.992,28.835,60.455,22.346,37.728,37.345,48.788,47.373,41.689,18.636
48,0.2943,3644.0,4510.9,9.2908,26.878,42.079,2705.8,75.085,120.41,0.32588,79.932,49.611,2634.5,24.868,49.298,3103.5,22.93,65.686,229.56,341.74,94.561,76.97,32.791,8.9448,26.504,6.7821,19.053,1.6177,33.218,14.051,24.36,1.2116,18.651,2.2579,4.8851,2.3226,0.006968,0.83975,0.092062,53.009,44.321,63.762,53.932,28.953,62.009,22.176,37.478,36.955,44.909,47.071,40.92,18.192
49,0.19212,3672.4,4465.5,9.5172,27.09,42.118,2702.9,74.815,120.41,0.3646,79.891,49.705,2631.0,25.283,52.003,3099.0,23.202,65.618,227.93,341.56,94.615,77.411,32.342,8.9237,26.692,6.9691,18.886,1.6752,33.689,13.777,23.943,1.3791,18.573,2.2543,4.8094,2.2457,0.006968,0.83975,0.092062,53.009,44.321,63.831,53.942,18.739,62.003,22.076,43.392,37.231,51.171,47.174,41.767,17.526
50,0.19059,3673.0,4521.0,9.28,26.969,42.065,2703.3,75.024,120.4,0.36194,80.193,49.414,2631.9,25.199,50.956,3098.6,22.566,65.632,229.08,341.36,94.636,77.572,32.342,8.9237,26.692,6.9691,18.886,1.6752,33.689,13.777,23.943,1.3791,18.573,2.2543,4.8094,2.2457,0.006968,0.83975,0.092062,53.009,44.321,63.821,53.278,18.889,60.492,22.297,43.716,36.374,48.747,47.028,40.708,19.007
51,0.2305,3650.5,4484.5,9.3385,27.128,42.36,2702.6,74.573,120.39,0.33534,80.187,48.42,2631.7,25.556,49.05,3098.6,23.157,65.685,229.54,341.18,94.601,77.132,32.315,8.8043,26.4,7.1364,19.117,1.6306,33.187,13.769,23.69,1.2698,18.687,2.2632,4.8222,2.234,-0.00015232,0.83991,0.10276,53.436,43.682,62.574,54.093,22.745,61.087,22.382,39.771,33.449,44.335,47.147,41.203,17.628
52,0.23121,3641.5,4497.1,9.432,27.112,42.26,2699.9,74.317,120.38,0.33535,79.997,49.784,2627.8,25.299,50.536,3098.8,21.952,65.686,231.21,341.33,94.67,77.22,32.315,8.8043,26.4,7.1364,19.117,1.6306,33.187,13.769,23.69,1.2698,18.687,2.2632,4.8222,2.234,-0.00015232,0.83991,0.10276,53.436,43.682,62.728,53.942,22.676,59.946,22.034,39.769,37.466,47.775,47.044,40.468,20.503
53,0.22942,3607.9,4518.7,9.4091,26.986,41.998,2702.7,75.131,120.39,0.33362,80.14,51.917,2630.3,23.583,49.69,3099.8,22.929,65.687,229.71,340.79,94.887,77.367,32.377,8.8873,26.234,6.9476,18.541,1.6627,32.707,13.89,24.106,1.34,18.561,2.256,4.7931,2.3842,-0.00015232,0.83991,0.10276,53.436,43.682,61.679,53.076,23.071,60.877,22.095,39.687,43.741,45.818,47.221,41.12,18.162
54,0.23182,3615.7,4489.2,9.3644,26.804,42.361,2705.8,74.732,120.4,0.33286,80.275,49.461,2634.5,25.35,49.715,3101.1,23.552,65.717,231.28,341.46,94.771,77.575,32.377,8.8873,26.234,6.9476,18.541,1.6627,32.707,13.89,24.106,1.34,18.561,2.256,4.7931,2.3842,-0.00015232,0.83991,0.10276,53.436,43.682,61.544,53.43,22.835,62.038,22.505,39.78,36.514,45.875,47.124,40.481,16.663
55,0.22656,3631.8,4536.3,9.3918,26.848,42.34,2705.9,75.153,120.38,0.34986,80.264,50.252,2635.0,25.109,48.391,3103.5,23.596,65.753,229.48,341.56,94.819,77.439,32.314,8.9173,26.59,6.842,18.627,1.6424,32.632,13.904,23.762,1.3196,18.921,2.2545,4.9046,2.2567,-0.00015232,0.83991,0.10276,53.436,43.682,62.772,54.272,21.844,61.918,22.266,40.954,38.841,42.81,47.324,40.456,16.554
56,0.22439,3664.5,4538.8,9.4427,26.808,42.094,2705.9,75.093,120.38,0.34584,80.178,49.087,2634.9,26.547,49.595,3104.4,22.301,65.753,228.24,341.41,94.749,77.446,32.314,8.9173,26.59,6.842,18.627,1.6424,32.632,13.904,23.762,1.3196,18.921,2.2545,4.9046,2.2567,0.010544,0.83431,0.096498,54.066,43.861,62.208,54.243,22.057,61.01,21.9,41.444,35.414,45.596,47.486,41.04,19.628
57,0.22934,3656.4,4518.0,9.4504,26.716,42.426,2706.7,74.978,120.41,0.34552,80.202,50.618,2635.7,24.556,50.438,3105.6,22.73,65.755,229.14,341.25,94.68,77.395,31.929,8.9904,26.445,6.8553,18.948,1.7134,33.41,13.805,24.047,1.3213,18.539,2.2706,4.8924,2.2621,0.010544,0.83431,0.096498,54.066,43.861,63.262,54.31,22.461,60.567,21.825,41.966,39.919,47.547,47.453,40.508,18.602
58,0.22924,3656.0,4495.2,9.4245,27.201,42.294,2707.6,74.328,120.4,0.35199,80.213,49.416,2635.7,25.276,50.085,3105.2,22.956,65.755,229.92,340.82,94.622,77.453,31.929,8.9904,26.445,6.8553,18.948,1.7134,33.41,13.805,24.047,1.3213,18.539,2.2706,4.8924,2.2621,0.010544,0.83431,0.096498,54.066,43.861,63.27,54.583,22.471,59.792,22.29,41.177,36.381,46.73,47.429,40.669,18.057
